,price,area_house,area_land,type,house_material,num_of_floors
45,12200000,66.0,17.0,индивидуальное жилищное строительство,блок,1
46,6700000,200.0,10.0,индивидуальное жилищное строительство,кирпич,2
47,5000000,28.0,6.0,индивидуальное жилищное строительство,дерево,1
48,8000000,100.0,9.0,индивидуальное жилищное строительство,блок,1
49,14250000,251.0,8.0,индивидуальное жилищное строительство,блок,2
50,21000000,157.0,15.0,индивидуальное жилищное строительство,блок,2
51,7200000,110.0,13.0,индивидуальное жилищное строительство,блок,1
52,8500000,186.0,5.0,индивидуальное жилищное строительство,блок,2
53,12250000,355.0,5.0,индивидуальное жилищное строительство,блок,3
54,1530000,85.0,6.0,индивидуальное жилищное строительство,дерево,2
55,1450000,45.0,5.0,индивидуальное жилищное строительство,дерево,1
56,10500000,223.0,6.0,индивидуальное жилищное строительство,блок,2
57,1250000,16.0,2.0,индивидуальное жилищное строительство,блок,2
58,41000000,709.0,20.0,индивидуальное жилищное строительство,кирпич,3
59,6300000,130.0,6.0,индивидуальное жилищное строительство,дерево,2
60,6300000,165.0,10.0,индивидуальное жилищное строительство,кирпич,2
61,8500000,278.0,10.0,индивидуальное жилищное строительство,блок,2
62,21900000,350.0,11.0,индивидуальное жилищное строительство,кирпич,3
63,25000000,209.0,7.0,индивидуальное жилищное строительство,кирпич,2
64,7565000,125.0,8.0,индивидуальное жилищное строительство,блок,1
65,6300000,130.0,6.0,индивидуальное жилищное строительство,дерево,2
66,3299000,36.0,933.0,садоводство,блок,1
67,1650000,35.0,6.0,индивидуальное жилищное строительство,дерево,1
68,7500000,108.0,3.0,садоводство,блок,2
69,12500000,56.0,4.0,садоводство,дерево,2
70,2999999,180.0,10.0,садоводство,блок,2
71,4950000,68.0,5.0,индивидуальное жилищное строительство,дерево,1
72,12700000,650.0,14.0,индивидуальное жилищное строительство,кирпич,2
73,10500000,294.0,4.0,индивидуальное жилищное строительство,блок,1
74,1700000,50.0,5.0,индивидуальное жилищное строительство,дерево,2
75,5500000,319.0,6.0,индивидуальное жилищное строительство,дерево,3
76,5999000,73.0,4.0,садоводство,блок,2
77,2600000,50.0,7.0,садоводство,кирпич,2
78,6700000,78.0,11.0,индивидуальное жилищное строительство,блок,1
79,9000000,336.0,5.0,индивидуальное жилищное строительство,блок,2
80,5400000,130.0,3.0,садоводство,кирпич,2
81,7753191,132.0,5.0,садоводство,дерево,3
82,4290000,82.0,8.0,индивидуальное жилищное строительство,блок,1
83,2990000,50.0,6.0,индивидуальное жилищное строительство,дерево,2
84,4500000,80.0,12.0,индивидуальное жилищное строительство,дерево,2
85,7350000,127.0,8.0,индивидуальное жилищное строительство,блок,1
86,3700000,80.0,10.0,индивидуальное жилищное строительство,блок,1
87,6300000,120.0,10.0,индивидуальное жилищное строительство,блок,1
88,4900000,108.0,7.0,индивидуальное жилищное строительство,кирпич,2
89,2700000,80.0,7.0,индивидуальное жилищное строительство,дерево,2
90,6500000,90.0,8.0,индивидуальное жилищное строительство,блок,2
91,10500000,158.0,12.0,индивидуальное жилищное строительство,кирпич,2
92,5499000,116.0,7.0,садоводство,блок,2
93,8500000,163.0,6.0,индивидуальное жилищное строительство,блок,2
94,1300000,67.0,5.0,садоводство,дерево,2
95,1900000,50.0,6.0,садоводство,дерево,2
96,5300000,80.0,8.0,индивидуальное жилищное строительство,блок,1
97,7000000,400.0,14.0,индивидуальное жилищное строительство,дерево,2
98,6500000,117.0,5.0,садоводство,блок,2
99,7989000,100.0,9.0,индивидуальное жилищное строительство,блок,1
100,2500000,40.0,4.0,индивидуальное жилищное строительство,дерево,2
101,8950000,57.0,4.0,индивидуальное жилищное строительство,дерево,1
102,15123958,165.0,7.0,индивидуальное жилищное строительство,кирпич,2
103,5150000,150.0,5.0,индивидуальное жилищное строительство,дерево,2
104,5780000,74.0,6.0,садоводство,дерево,2
105,4500000,165.0,6.0,индивидуальное жилищное строительство,блок,2
106,18500000,300.0,27.0,индивидуальное жилищное строительство,кирпич,2
107,10500000,140.0,7.0,садоводство,блок,2
108,3000000,36.0,4.0,индивидуальное жилищное строительство,кирпич,2
109,45000000,709.0,20.0,индивидуальное жилищное строительство,блок,3
110,69900000,653.0,20.0,индивидуальное жилищное строительство,кирпич,3
111,4950000,68.0,5.0,индивидуальное жилищное строительство,дерево,1
112,2999999,180.0,10.0,садоводство,блок,2
113,7500000,108.0,3.0,садоводство,блок,2
114,12500000,56.0,4.0,садоводство,дерево,2
115,2990000,50.0,6.0,индивидуальное жилищное строительство,дерево,2
116,4500000,80.0,12.0,индивидуальное жилищное строительство,дерево,2
117,9000000,336.0,5.0,индивидуальное жилищное строительство,блок,2
118,6700000,78.0,11.0,индивидуальное жилищное строительство,блок,1
119,4290000,82.0,8.0,индивидуальное жилищное строительство,блок,1
120,5400000,130.0,3.0,садоводство,кирпич,2
121,7753191,132.0,5.0,садоводство,дерево,3
122,1180000,41.0,6.0,индивидуальное жилищное строительство,кирпич,1
123,2300000,53.0,1.0,садоводство,блок,2
124,4900000,108.0,7.0,индивидуальное жилищное строительство,кирпич,2
125,4250000,55.0,4.0,индивидуальное жилищное строительство,дерево,1
126,12700000,650.0,14.0,индивидуальное жилищное строительство,кирпич,2
127,10500000,294.0,4.0,индивидуальное жилищное строительство,блок,1
128,1700000,50.0,5.0,индивидуальное жилищное строительство,дерево,2
129,5500000,319.0,6.0,индивидуальное жилищное строительство,дерево,3
130,5999000,73.0,4.0,садоводство,блок,2
131,2600000,50.0,7.0,садоводство,кирпич,2
132,15100000,256.0,10.0,индивидуальное жилищное строительство,блок,2
133,4000000,72.0,4.0,индивидуальное жилищное строительство,дерево,2
134,5300000,108.0,8.0,индивидуальное жилищное строительство,блок,1
135,1000000,46.0,5.0,садоводство,дерево,2
136,8500000,150.0,12.0,индивидуальное жилищное строительство,дерево,3
137,84999000,723.0,36.0,индивидуальное жилищное строительство,блок,2
138,1480000,50.0,4.0,индивидуальное жилищное строительство,дерево,2
139,4400000,90.0,11.0,индивидуальное жилищное строительство,дерево,1
140,6100000,96.0,8.0,индивидуальное жилищное строительство,блок,1
141,10800000,93.0,10.0,индивидуальное жилищное строительство,дерево,2
142,7000000,135.0,8.0,индивидуальное жилищное строительство,блок,1
143,2690000,35.0,10.0,индивидуальное жилищное строительство,дерево,2
144,3800000,67.0,10.0,садоводство,блок,2
145,6300000,120.0,10.0,индивидуальное жилищное строительство,блок,1
146,13500000,104.0,5.0,индивидуальное жилищное строительство,дерево,1
147,4900000,108.0,7.0,индивидуальное жилищное строительство,кирпич,2
148,16500000,480.0,11.0,индивидуальное жилищное строительство,кирпич,3
149,8500000,163.0,6.0,индивидуальное жилищное строительство,блок,2
150,9500000,130.0,5.0,индивидуальное жилищное строительство,кирпич,1
151,39000000,387.0,10.0,индивидуальное жилищное строительство,блок,2
152,8100000,65.0,18.0,индивидуальное жилищное строительство,дерево,1
153,21600000,353.0,10.0,индивидуальное жилищное строительство,блок,2
154,3500000,123.0,5.0,садоводство,блок,2
155,5300000,80.0,8.0,индивидуальное жилищное строительство,блок,1
156,1900000,50.0,6.0,садоводство,дерево,2
157,3300000,73.0,11.0,индивидуальное жилищное строительство,дерево,2
158,10000000,190.0,12.0,индивидуальное жилищное строительство,блок,2
159,1300000,67.0,5.0,садоводство,дерево,2
160,550000,109.0,10.0,садоводство,дерево,2
161,4100000,68.0,10.0,индивидуальное жилищное строительство,блок,2
162,8700000,183.0,10.0,садоводство,дерево,2
163,1200000,50.0,28.0,индивидуальное жилищное строительство,блок,1
164,12300000,255.0,6.0,индивидуальное жилищное строительство,монолит,2
165,790000,25.0,4.0,садоводство,дерево,2
166,2900000,83.0,6.0,индивидуальное жилищное строительство,кирпич,1
167,3300000,180.0,18.0,индивидуальное жилищное строительство,кирпич,3
168,4800000,48.0,10.0,индивидуальное жилищное строительство,дерево,1
169,12000000,332.0,10.0,индивидуальное жилищное строительство,кирпич,1
170,1200000,32.0,18.0,индивидуальное жилищное строительство,дерево,1
171,8900000,70.0,14.0,индивидуальное жилищное строительство,кирпич,2
172,3300000,35.0,7.0,индивидуальное жилищное строительство,дерево,1
173,8300000,124.0,23.0,индивидуальное жилищное строительство,блок,2
174,12500000,190.0,10.0,индивидуальное жилищное строительство,блок,2
175,6100000,175.0,10.0,индивидуальное жилищное строительство,блок,2
176,510000,50.0,6.0,индивидуальное жилищное строительство,дерево,2
177,2600000,65.0,7.0,индивидуальное жилищное строительство,дерево,2
178,1060000,25.0,4.0,индивидуальное жилищное строительство,дерево,2
179,10100000,645.0,6.0,индивидуальное жилищное строительство,кирпич,3
180,7900000,195.0,4.0,индивидуальное жилищное строительство,блок,3
181,79000000,700.0,20.0,индивидуальное жилищное строительство,кирпич,4
182,8100000,133.0,5.0,индивидуальное жилищное строительство,блок,2
183,9500000,130.0,5.0,индивидуальное жилищное строительство,кирпич,1
184,39000000,387.0,10.0,индивидуальное жилищное строительство,блок,2
185,8100000,65.0,18.0,индивидуальное жилищное строительство,дерево,1
186,5499000,116.0,7.0,садоводство,блок,2
187,8500000,163.0,6.0,индивидуальное жилищное строительство,блок,2
188,1300000,67.0,5.0,садоводство,дерево,2
189,1900000,50.0,6.0,садоводство,дерево,2
190,5300000,80.0,8.0,индивидуальное жилищное строительство,блок,1
191,4999000,68.0,4.0,индивидуальное жилищное строительство,дерево,2
192,3850000,39.0,4.0,индивидуальное жилищное строительство,дерево,1
193,3800000,80.0,7.0,индивидуальное жилищное строительство,дерево,2
194,37800000,454.0,10.0,индивидуальное жилищное строительство,кирпич,2
195,23000000,410.0,10.0,индивидуальное жилищное строительство,кирпич,3
196,4400000,96.0,6.0,индивидуальное жилищное строительство,блок,1
197,3250000,25.0,4.0,индивидуальное жилищное строительство,дерево,2
198,8700000,111.0,8.0,садоводство,блок,2
199,1450000,40.0,4.0,индивидуальное жилищное строительство,дерево,2
200,4200000,86.0,3.0,индивидуальное жилищное строительство,блок,2
201,22900000,309.0,10.0,индивидуальное жилищное строительство,блок,2
202,2400000,30.0,7.0,индивидуальное жилищное строительство,дерево,1
203,4950000,89.0,5.0,индивидуальное жилищное строительство,дерево,1
204,15500000,356.0,9.0,индивидуальное жилищное строительство,кирпич,2
205,9300000,90.0,6.0,индивидуальное жилищное строительство,дерево,1
206,30000000,511.0,16.0,индивидуальное жилищное строительство,кирпич,4
207,14800000,280.0,7.0,индивидуальное жилищное строительство,блок,2
208,11500000,112.0,436.0,индивидуальное жилищное строительство,кирпич,1
209,13500000,333.0,11.0,индивидуальное жилищное строительство,кирпич,3
210,7590000,95.0,8.0,индивидуальное жилищное строительство,блок,1
211,8300000,233.0,7.0,индивидуальное жилищное строительство,кирпич,1
212,6500000,60.0,6.0,индивидуальное жилищное строительство,дерево,1
213,8900000,70.0,14.0,индивидуальное жилищное строительство,кирпич,2
214,3300000,35.0,7.0,индивидуальное жилищное строительство,дерево,1
215,8300000,124.0,23.0,индивидуальное жилищное строительство,блок,2
216,12500000,190.0,10.0,индивидуальное жилищное строительство,блок,2
217,6100000,175.0,10.0,индивидуальное жилищное строительство,блок,2
218,510000,50.0,6.0,индивидуальное жилищное строительство,дерево,2
219,1850000,120.0,5.0,индивидуальное жилищное строительство,кирпич,2
220,4500000,51.0,20.0,индивидуальное жилищное строительство,дерево,1
221,12000000,341.0,14.0,индивидуальное жилищное строительство,кирпич,2
222,20570000,282.0,6.0,индивидуальное жилищное строительство,кирпич,3
223,7600000,240.0,17.0,индивидуальное жилищное строительство,кирпич,3
224,50000000,400.0,14.0,индивидуальное жилищное строительство,блок,2
225,3300000,64.0,2162.0,индивидуальное жилищное строительство,блок,1
226,8600000,125.0,9.0,индивидуальное жилищное строительство,блок,2
227,15000000,200.0,9.0,индивидуальное жилищное строительство,блок,2
228,10900000,149.0,10.0,индивидуальное жилищное строительство,блок,1
229,7750000,140.0,6.0,индивидуальное жилищное строительство,блок,2
230,1200000,52.0,9.0,индивидуальное жилищное строительство,дерево,1
231,7950000,132.0,6.0,индивидуальное жилищное строительство,блок,2
232,1700000,64.0,15.0,индивидуальное жилищное строительство,дерево,2
233,1300000,40.0,5.0,индивидуальное жилищное строительство,дерево,2
234,80000000,534.0,70.0,индивидуальное жилищное строительство,монолит-кирпич,3
235,11500000,250.0,8.0,индивидуальное жилищное строительство,блок,2
236,3800000,45.0,11.0,индивидуальное жилищное строительство,дерево,1
237,7990000,271.0,19.0,индивидуальное жилищное строительство,блок,2
238,3700000,32.0,23.0,индивидуальное жилищное строительство,дерево,1
239,8200000,143.0,14.0,индивидуальное жилищное строительство,блок,1
240,14000000,345.0,10.0,индивидуальное жилищное строительство,кирпич,3
241,7500000,200.0,11.0,индивидуальное жилищное строительство,блок,2
242,1999000,70.0,6.0,индивидуальное жилищное строительство,дерево,1
243,9110000,200.0,12.0,индивидуальное жилищное строительство,кирпич,2
244,2300000,45.0,9.0,индивидуальное жилищное строительство,дерево,1
245,2600000,47.0,7.0,индивидуальное жилищное строительство,дерево,2
246,4300000,92.0,9.0,индивидуальное жилищное строительство,дерево,2
247,4059000,180.0,9.0,индивидуальное жилищное строительство,блок,2
248,23000000,390.0,20.0,индивидуальное жилищное строительство,монолит-кирпич,4
249,450000,70.0,5.0,индивидуальное жилищное строительство,дерево,2
250,3550000,74.0,9.0,индивидуальное жилищное строительство,дерево,1
251,2100000,45.0,7.0,индивидуальное жилищное строительство,дерево,1
252,1900000,50.0,12.0,индивидуальное жилищное строительство,дерево,1
253,8500000,82.0,8.0,индивидуальное жилищное строительство,дерево,2
254,2350000,28.0,5.0,индивидуальное жилищное строительство,кирпич,2
255,3450000,33.0,26.0,индивидуальное жилищное строительство,дерево,1
256,7100000,97.0,10.0,индивидуальное жилищное строительство,кирпич,2
257,3370000,137.0,10.0,индивидуальное жилищное строительство,кирпич,2
258,2900000,104.0,9.0,индивидуальное жилищное строительство,блок,2
259,3000000,52.0,15.0,индивидуальное жилищное строительство,дерево,2
260,10500000,220.0,9.0,индивидуальное жилищное строительство,кирпич,2
261,7800000,266.0,9.0,индивидуальное жилищное строительство,блок,2
262,12750000,209.0,9.0,индивидуальное жилищное строительство,блок,2
263,7565000,125.0,8.0,индивидуальное жилищное строительство,кирпич,1
264,1300000,38.0,3.0,индивидуальное жилищное строительство,дерево,1
265,15000000,200.0,16.0,индивидуальное жилищное строительство,блок,2
266,6150000,49.0,7.0,индивидуальное жилищное строительство,дерево,1
267,14000000,174.0,5.0,индивидуальное жилищное строительство,блок,2
268,6200000,65.0,4.0,садоводство,блок,2
269,12200000,66.0,17.0,индивидуальное жилищное строительство,блок,1
270,720000,22.0,4.0,садоводство,дерево,1
271,4000000,82.0,10.0,индивидуальное жилищное строительство,блок,2
272,7500000,78.0,4.0,индивидуальное жилищное строительство,дерево,2
273,21600000,353.0,10.0,индивидуальное жилищное строительство,блок,2
274,3500000,123.0,5.0,садоводство,блок,2
275,3300000,73.0,11.0,индивидуальное жилищное строительство,дерево,2
276,10000000,190.0,12.0,индивидуальное жилищное строительство,блок,2
277,7200000,180.0,7.0,садоводство,блок,3
278,2600000,65.0,7.0,индивидуальное жилищное строительство,дерево,2
279,1060000,25.0,4.0,индивидуальное жилищное строительство,дерево,2
280,15000000,327.0,4.0,индивидуальное жилищное строительство,блок,3
281,72500000,656.0,22.0,индивидуальное жилищное строительство,кирпич,2
282,9900000,175.0,13.0,индивидуальное жилищное строительство,кирпич,2
283,26900000,381.0,9.0,индивидуальное жилищное строительство,кирпич,3
284,27000000,437.0,19.0,индивидуальное жилищное строительство,кирпич,3
285,30000000,458.0,10.0,индивидуальное жилищное строительство,кирпич,3
286,36900000,350.0,11.0,индивидуальное жилищное строительство,кирпич,3
287,32500000,318.0,10.0,индивидуальное жилищное строительство,кирпич,3
288,20000000,250.0,9.0,индивидуальное жилищное строительство,блок,2
289,17999000,455.0,12.0,индивидуальное жилищное строительство,кирпич,3
290,75000000,739.0,20.0,индивидуальное жилищное строительство,кирпич,3
291,7600000,148.0,7.0,индивидуальное жилищное строительство,дерево,2
292,6000000,93.0,5.0,индивидуальное жилищное строительство,кирпич,1
293,1000000,20.0,4.0,индивидуальное жилищное строительство,дерево,1
294,15000000,484.0,5.0,индивидуальное жилищное строительство,блок,3
295,10500000,190.0,5.0,индивидуальное жилищное строительство,блок,1
296,6200000,85.0,5.0,индивидуальное жилищное строительство,дерево,1
297,1200000,52.0,9.0,индивидуальное жилищное строительство,дерево,1
298,7950000,132.0,6.0,индивидуальное жилищное строительство,блок,2
299,1700000,64.0,15.0,индивидуальное жилищное строительство,дерево,2
300,1300000,40.0,5.0,индивидуальное жилищное строительство,дерево,2
301,80000000,534.0,70.0,индивидуальное жилищное строительство,монолит-кирпич,3
302,11500000,250.0,8.0,индивидуальное жилищное строительство,блок,2
303,3800000,45.0,11.0,индивидуальное жилищное строительство,дерево,1
304,7990000,271.0,19.0,индивидуальное жилищное строительство,блок,2
305,3700000,32.0,23.0,индивидуальное жилищное строительство,дерево,1
306,8200000,143.0,14.0,индивидуальное жилищное строительство,блок,1
307,14000000,345.0,10.0,индивидуальное жилищное строительство,кирпич,3
308,7500000,200.0,11.0,индивидуальное жилищное строительство,блок,2
309,1999000,70.0,6.0,индивидуальное жилищное строительство,дерево,1
310,9110000,200.0,12.0,индивидуальное жилищное строительство,кирпич,2
311,2300000,45.0,9.0,индивидуальное жилищное строительство,дерево,1
312,2600000,47.0,7.0,индивидуальное жилищное строительство,дерево,2
313,7000000,140.0,10.0,садоводство,блок,2
314,900000,62.0,7.0,индивидуальное жилищное строительство,блок,2
315,1850000,62.0,18.0,индивидуальное жилищное строительство,дерево,1
316,26700000,344.0,40.0,индивидуальное жилищное строительство,дерево,2
317,1700000,64.0,15.0,индивидуальное жилищное строительство,дерево,2
318,15000000,200.0,9.0,индивидуальное жилищное строительство,блок,2
319,7750000,140.0,6.0,индивидуальное жилищное строительство,блок,2
320,1200000,52.0,9.0,индивидуальное жилищное строительство,дерево,1
321,7950000,132.0,6.0,индивидуальное жилищное строительство,блок,2
322,2600000,47.0,7.0,индивидуальное жилищное строительство,дерево,2
323,7290000,126.0,12.0,индивидуальное жилищное строительство,монолит,2
324,6500000,68.0,8.0,индивидуальное жилищное строительство,кирпич,1
325,8200000,141.0,14.0,индивидуальное жилищное строительство,блок,1
326,10700000,268.0,20.0,индивидуальное жилищное строительство,кирпич,2
327,2100000,32.0,7.0,индивидуальное жилищное строительство,дерево,1
328,8700000,140.0,9.0,индивидуальное жилищное строительство,блок,1
329,15500000,260.0,11.0,индивидуальное жилищное строительство,кирпич,2
330,3300000,64.0,8.0,индивидуальное жилищное строительство,кирпич,1
331,2700000,45.0,10.0,индивидуальное жилищное строительство,дерево,1
332,450000,31.0,15.0,индивидуальное жилищное строительство,дерево,1
333,11700000,240.0,761.0,индивидуальное жилищное строительство,блок,2
334,7450000,66.0,8.0,индивидуальное жилищное строительство,дерево,2
335,10250000,635.0,10.0,индивидуальное жилищное строительство,кирпич,3
336,7500000,189.0,6.0,индивидуальное жилищное строительство,блок,1
337,65000000,320.0,12.0,индивидуальное жилищное строительство,кирпич,2
338,16500000,227.0,9.0,индивидуальное жилищное строительство,кирпич,2
339,3300000,60.0,4.0,индивидуальное жилищное строительство,дерево,2
340,6500000,70.0,12.0,индивидуальное жилищное строительство,блок,1
341,6313789,60.0,8.0,индивидуальное жилищное строительство,блок,1
342,36900000,351.0,10.0,индивидуальное жилищное строительство,кирпич,2
343,19500000,100.0,6.0,индивидуальное жилищное строительство,дерево,2
344,13500000,180.0,10.0,индивидуальное жилищное строительство,кирпич,2
345,2450000,98.0,4.0,индивидуальное жилищное строительство,дерево,2
346,22000000,275.0,7.0,индивидуальное жилищное строительство,кирпич,2
347,22600000,400.0,10.0,индивидуальное жилищное строительство,блок,2
348,8090000,150.0,10.0,индивидуальное жилищное строительство,блок,1
349,2650000,60.0,7.0,индивидуальное жилищное строительство,дерево,2
350,3500000,41.0,12.0,индивидуальное жилищное строительство,дерево,1
351,52000000,665.0,15.0,индивидуальное жилищное строительство,монолит,3
352,7800000,125.0,4.0,индивидуальное жилищное строительство,блок,2
353,17000000,461.0,10.0,индивидуальное жилищное строительство,кирпич,3
354,110000000,444.0,15.0,индивидуальное жилищное строительство,кирпич,3
355,22950000,239.0,12.0,индивидуальное жилищное строительство,кирпич,2
356,24300000,447.0,8.0,индивидуальное жилищное строительство,блок,2
357,24900000,237.0,18.0,индивидуальное жилищное строительство,блок,2
358,5750000,45.0,9.0,индивидуальное жилищное строительство,дерево,1
359,1050000,20.0,4.0,индивидуальное жилищное строительство,дерево,1
360,9800000,170.0,6.0,индивидуальное жилищное строительство,блок,2
361,1190000,37.0,6.0,индивидуальное жилищное строительство,дерево,2
362,30000000,250.0,14.0,индивидуальное жилищное строительство,блок,2
363,6500000,196.0,6.0,садоводство,блок,3
364,21500000,266.0,8.0,индивидуальное жилищное строительство,кирпич,3
365,11990000,221.0,4.0,индивидуальное жилищное строительство,кирпич,2
366,11499000,138.0,6.0,индивидуальное жилищное строительство,кирпич,2
367,8500000,224.0,15.0,индивидуальное жилищное строительство,блок,2
368,1200000,49.0,4.0,индивидуальное жилищное строительство,дерево,2
369,1650000,61.0,4.0,индивидуальное жилищное строительство,дерево,2
370,5800000,83.0,6.0,индивидуальное жилищное строительство,блок,1
371,7399000,139.0,9.0,индивидуальное жилищное строительство,кирпич,2
372,49000000,427.0,20.0,индивидуальное жилищное строительство,блок,3
373,800000,46.0,8.0,индивидуальное жилищное строительство,дерево,2
374,6400000,283.0,12.0,индивидуальное жилищное строительство,кирпич,2
375,4299000,66.0,4.0,садоводство,блок,1
376,1050000,38.0,17.0,индивидуальное жилищное строительство,дерево,1
377,11500000,215.0,10.0,индивидуальное жилищное строительство,блок,2
378,1550000,22.0,12.0,индивидуальное жилищное строительство,дерево,1
379,4700000,80.0,10.0,индивидуальное жилищное строительство,блок,1
380,1500000,46.0,7.0,садоводство,дерево,2
381,7500000,106.0,5.0,индивидуальное жилищное строительство,кирпич,1
382,1400000,64.0,5.0,индивидуальное жилищное строительство,блок,1
383,10500000,108.0,11.0,садоводство,блок,1
384,9200000,102.0,8.0,индивидуальное жилищное строительство,блок,1
385,700000,20.0,8.0,индивидуальное жилищное строительство,дерево,1
386,7200000,104.0,10.0,индивидуальное жилищное строительство,блок,1
387,800000,40.0,15.0,индивидуальное жилищное строительство,дерево,1
388,460000,41.0,5.0,индивидуальное жилищное строительство,дерево,1
389,17999000,277.0,16.0,индивидуальное жилищное строительство,кирпич,2
390,5250000,94.0,7.0,индивидуальное жилищное строительство,блок,1
391,1500000,63.0,10.0,индивидуальное жилищное строительство,дерево,1
392,2500000,44.0,6.0,садоводство,дерево,1
393,15000000,180.0,12.0,индивидуальное жилищное строительство,кирпич,2
394,5490000,106.0,12.0,индивидуальное жилищное строительство,дерево,2
395,14900000,160.0,12.0,индивидуальное жилищное строительство,блок,2
396,6500000,240.0,24.0,индивидуальное жилищное строительство,блок,2
397,5950000,143.0,7.0,индивидуальное жилищное строительство,блок,1
398,3000000,51.0,5.0,индивидуальное жилищное строительство,блок,1
399,11100000,300.0,10.0,индивидуальное жилищное строительство,кирпич,3
400,7000000,194.0,19.0,индивидуальное жилищное строительство,блок,2
401,1000000,24.0,606.0,индивидуальное жилищное строительство,дерево,1
402,850000,32.0,15.0,индивидуальное жилищное строительство,дерево,1
403,49990000,430.0,40.0,индивидуальное жилищное строительство,кирпич,3
404,230000,25.0,13.0,индивидуальное жилищное строительство,дерево,1
405,1700000,32.0,20.0,индивидуальное жилищное строительство,дерево,1
406,24000000,365.0,22.0,индивидуальное жилищное строительство,кирпич,3
407,2550000,139.0,12.0,индивидуальное жилищное строительство,кирпич,2
408,8000000,180.0,1.0,индивидуальное жилищное строительство,дерево,2
409,1840000,50.0,16.0,индивидуальное жилищное строительство,дерево,1
410,7500000,73.0,1848.0,индивидуальное жилищное строительство,кирпич,1
411,250000,16.0,5.0,индивидуальное жилищное строительство,кирпич,1
412,4150000,68.0,12.0,индивидуальное жилищное строительство,блок,1
413,3000000,87.0,14.0,индивидуальное жилищное строительство,блок,1
414,12500000,170.0,10.0,индивидуальное жилищное строительство,кирпич,2
415,4999000,179.0,28.0,индивидуальное жилищное строительство,кирпич,2
416,800000,63.0,15.0,индивидуальное жилищное строительство,дерево,1
417,13000000,150.0,12.0,индивидуальное жилищное строительство,дерево,2
418,1900000,103.0,9.0,индивидуальное жилищное строительство,дерево,1
419,14490000,175.0,6.0,индивидуальное жилищное строительство,блок,2
420,3500000,42.0,16.0,индивидуальное жилищное строительство,дерево,1
421,7100000,110.0,7.0,индивидуальное жилищное строительство,блок,1
422,22277456,190.0,10.0,индивидуальное жилищное строительство,блок,2
423,29000000,458.0,23.0,индивидуальное жилищное строительство,блок,2
424,4980000,108.0,6.0,индивидуальное жилищное строительство,дерево,2
